    time    temp    dens
   1.00000000000000E+07   2.00000000000000E-01   1.00000000000000E+04
     nin     zin       y       x
 14   10     2.52571941502967E-22   6.06172659607121E-21
 15   10     5.13772827653402E-33   1.28443206913351E-31
 16   10     5.41793836174371E-45   1.40866397405336E-43
 17   10     6.79619513254862E-58   1.83497268578813E-56
 18   10     1.98582742404318E-69   5.56031678732090E-68
 19   10     5.09834564051032E-82   1.47852023574799E-80
 20   10     1.14004153671942E-93   3.42012461015825E-92
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     2.58453775960249E-67   4.91062174324473E-66
  9   11     7.53461982896506E-48   1.50692396579301E-46
 10   11     1.48584776513098E-22   3.12028030677505E-21
 11   11     1.59608728999192E-15   3.51139203798222E-14
 12   11     1.75400038458149E-08   4.03420088453743E-07
 13   11     1.08071320242057E-11   2.59371168580937E-10
 14   11     9.16674323726591E-18   2.29168580931648E-16
 15   11     5.74059006783334E-26   1.49255341763667E-24
 16   11     1.23892385424093E-34   3.34509440645050E-33
 17   11     1.54187000124635E-45   4.31723600348977E-44
 18   11     1.35477045435156E-55   3.92883431761952E-54
 19   11     7.74140404713367E-67   2.32242121414010E-65
 20   11     1.68319530127010E-77   5.21790543393729E-76
 21   11     2.08905338643565E-89   6.68497083659407E-88
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     3.12029210987253E-84   6.24058421974506E-83
  9   12     1.64761808056512E-65   3.45999796918674E-64
 10   12     1.32626184148115E-37   2.91777605125853E-36
 11   12     1.14722126889413E-29   2.63860891845651E-28
 12   12     1.48228427403859E-08   3.55748225769261E-07
 13   12     5.95050751589794E-09   1.48762687897449E-07
 14   12     2.43685904971202E-07   6.33583352925125E-06
 15   12     5.39407895581004E-14   1.45640131806871E-12
 16   12     5.41844905193288E-17   1.51716573454121E-15
 17   12     1.03319345539280E-25   2.99626102063911E-24
 18   12     1.42001537727297E-34   4.26004613181891E-33
 19   12     7.19578781415957E-45   2.23069422238947E-43
