    time    temp    dens
   1.00000000000000E+07   2.00000000000000E-01   1.00000000000000E+04
     nin     zin       y       x
  9   17     1.00000000000000E-99   1.00000000000000E-99
 10   17     1.00000000000000E-99   1.00000000000000E-99
 11   17     1.00000000000000E-99   1.00000000000000E-99
 12   17     1.00000000000000E-99   1.00000000000000E-99
 13   17     1.00000000000000E-99   1.00000000000000E-99
 14   17     2.79722892372465E-69   8.67140966354642E-68
 15   17     2.29064610932589E-65   7.33006754984284E-64
 16   17     2.34420525660506E-31   7.73587734679668E-30
 17   17     9.04248280065075E-29   3.07444415222126E-27
 18   17     1.79137048122547E-09   6.26979668428916E-08
 19   17     1.66588359520129E-10   5.99718094272464E-09
 20   17     2.50419617619427E-08   9.26552585191880E-07
 21   17     7.13827498426727E-13   2.71254449402156E-11
 22   17     1.76509984960298E-16   6.88388941345163E-15
 23   17     2.79015499355841E-22   1.11606199742336E-20
 24   17     7.16519014610102E-28   2.93772795990142E-26
 25   17     7.91619349997436E-35   3.32480126998923E-33
 26   17     5.68731009397471E-42   2.44554334040913E-40
 27   17     1.08059502256459E-50   4.75461809928418E-49
 28   17     3.80744164088752E-59   1.71334873839938E-57
 29   17     1.54934399468935E-69   7.12698237557100E-68
 30   17     6.42359607375721E-79   3.01909015466589E-77
 31   17     6.47893638749971E-91   3.10988946599986E-89
 32   17     1.00000000000000E-99   1.75354674439943E-99
 33   17     1.00000000000000E-99   1.00000000000000E-99
 34   17     1.00000000000000E-99   1.00000000000000E-99
 35   17     1.00000000000000E-99   1.00000000000000E-99
 36   17     1.00000000000000E-99   1.00000000000000E-99
 37   17     1.00000000000000E-99   1.00000000000000E-99
 38   17     1.00000000000000E-99   1.00000000000000E-99
 39   17     1.00000000000000E-99   1.00000000000000E-99
 40   17     1.00000000000000E-99   1.00000000000000E-99
 41   17     1.00000000000000E-99   1.00000000000000E-99
 42   17     1.00000000000000E-99   1.00000000000000E-99
 43   17     1.00000000000000E-99   1.00000000000000E-99
 44   17     1.00000000000000E-99   1.00000000000000E-99
 45   17     1.00000000000000E-99   1.00000000000000E-99
 46   17     1.00000000000000E-99   1.00000000000000E-99
  9   18     1.00000000000000E-99   1.00000000000000E-99
 10   18     1.00000000000000E-99   1.00000000000000E-99
 11   18     1.00000000000000E-99   1.00000000000000E-99
 12   18     1.00000000000000E-99   1.00000000000000E-99
 13   18     1.00000000000000E-99   1.00000000000000E-99
 14   18     3.45755085568000E-95   1.10641627381760E-93
 15   18     1.06882128260309E-88   3.52711023259021E-87
 16   18     4.71331569215522E-51   1.60252733533277E-49
 17   18     1.32563184249122E-47   4.63971144871928E-46
 18   18     5.15715906802408E-17   1.85657726448867E-15
 19   18     4.39804132628974E-19   1.62727529072720E-17
 20   18     1.63516198815343E-08   6.21361555498304E-07
 21   18     4.91683065745607E-09   1.91756395640787E-07
 22   18     2.65523993353125E-08   1.06209597341250E-06
 23   18     1.84564247339476E-12   7.56713414091853E-11
 24   18     9.09350982525093E-09   3.81927412660539E-07
 25   18     3.79789907628077E-14   1.63309660280073E-12
 26   18     7.21511114732160E-19   3.17464890482150E-17
 27   18     1.24455280646722E-25   5.60048762910250E-24
 28   18     1.77256400179382E-32   8.15379440825155E-31
 29   18     5.03521365624885E-41   2.36655041843696E-39
 30   18     2.86584810347254E-50   1.37560708966682E-48
 31   18     3.71895073831345E-61   1.82228586177359E-59
 32   18     4.22028267688703E-71   2.11014133844351E-69
 33   18     1.61672684321370E-83   8.24530690038989E-82
 34   18     2.36779826452851E-94   1.23125509755482E-92
 35   18     1.00000000000000E-99   1.00000000000000E-99
 36   18     1.00000000000000E-99   1.00000000000000E-99
 37   18     1.00000000000000E-99   1.00000000000000E-99
 38   18     1.00000000000000E-99   1.00000000000000E-99
 39   18     1.00000000000000E-99   1.00000000000000E-99
 40   18     1.00000000000000E-99   1.00000000000000E-99
 41   18     1.00000000000000E-99   1.00000000000000E-99
 42   18     1.00000000000000E-99   1.00000000000000E-99
 43   18     1.00000000000000E-99   1.00000000000000E-99
 44   18     1.00000000000000E-99   1.00000000000000E-99
 45   18     1.00000000000000E-99   1.00000000000000E-99
 46   18     1.00000000000000E-99   1.00000000000000E-99
 47   18     1.00000000000000E-99   1.00000000000000E-99
 48   18     1.00000000000000E-99   1.00000000000000E-99
 49   18     1.00000000000000E-99   1.00000000000000E-99
 10   19     1.00000000000000E-99   1.00000000000000E-99
 11   19     1.00000000000000E-99   1.00000000000000E-99
 12   19     1.00000000000000E-99   1.00000000000000E-99
 13   19     1.00000000000000E-99   1.00000000000000E-99
 14   19     1.00000000000000E-99   1.00000000000000E-99
 15   19     1.00000000000000E-99   1.00000000000000E-99
 16   19     3.30321471189263E-78   1.15612514916242E-76
 17   19     1.15844931509777E-67   4.17041753435198E-66
 18   19     2.17192135072773E-35   8.03610899769262E-34
 19   19     2.60026478956611E-36   9.88100620035121E-35
 20   19     3.20442390238439E-12   1.24972532192991E-10
 21   19     3.15430760729921E-13   1.26172304291968E-11
 22   19     2.50986623600411E-09   1.02904515676169E-07
 23   19     1.38200294743283E-11   5.80441237921790E-10
 24   19     9.82740772825270E-12   4.22578532314866E-10
 25   19     1.06382157742530E-15   4.68081494067131E-14
 26   19     1.86515193590751E-19   8.39318371158380E-18
 27   19     3.59205774013927E-25   1.65234656046406E-23
 28   19     1.41358644897026E-31   6.64385631016024E-30
 29   19     5.86927189361570E-39   2.81725050893554E-37
 30   19     1.38045377954285E-46   6.76422351975998E-45
 31   19     5.01341488979329E-56   2.50670744489665E-54
 32   19     2.06362492009126E-64   1.05244870924654E-62
 33   19     1.21969478782426E-74   6.34241289668616E-73
 34   19     1.27808669539708E-84   6.77385948560451E-83
 35   19     7.90141662244448E-97   4.26676497612002E-95
 36   19     1.00000000000000E-99   1.00000000000000E-99
 37   19     1.00000000000000E-99   1.00000000000000E-99
 38   19     1.00000000000000E-99   1.00000000000000E-99
 39   19     1.00000000000000E-99   1.00000000000000E-99
 40   19     1.00000000000000E-99   1.00000000000000E-99
 41   19     1.00000000000000E-99   1.00000000000000E-99
 42   19     1.00000000000000E-99   1.00000000000000E-99
 43   19     1.00000000000000E-99   1.00000000000000E-99
 44   19     1.00000000000000E-99   1.00000000000000E-99
 45   19     1.00000000000000E-99   1.00000000000000E-99
 46   19     1.00000000000000E-99   1.00000000000000E-99
 47   19     1.00000000000000E-99   1.00000000000000E-99
 48   19     1.00000000000000E-99   1.00000000000000E-99
 49   19     1.00000000000000E-99   1.00000000000000E-99
 50   19     1.00000000000000E-99   1.00000000000000E-99
 51   19     1.00000000000000E-99   1.00000000000000E-99
 10   20     1.00000000000000E-99   1.00000000000000E-99
 11   20     1.00000000000000E-99   1.00000000000000E-99
 12   20     1.00000000000000E-99   1.00000000000000E-99
 13   20     1.00000000000000E-99   1.00000000000000E-99
 14   20     1.00000000000000E-99   1.00000000000000E-99
 15   20     1.00000000000000E-99   1.00000000000000E-99
