    time    temp    dens
   9.96916002448041E+06   2.00000000000000E-01   1.00000000000000E+04
     nin     zin       y       x
 13    8     8.08341309591788E-33   1.69751675014276E-31
 14    8     2.17480006435550E-45   4.78456014158210E-44
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     7.50317674014897E-58   1.20050827842384E-56
  8    9     3.45467043902732E-18   5.87293974634645E-17
  9    9     2.09670511555341E-10   3.77406920799613E-09
 10    9     6.52958196749000E-05   1.24062057382310E-03
 11    9     1.25128858764873E-11   2.50257717529746E-10
 12    9     7.08434814261853E-19   1.48771310994989E-17
 13    9     2.92429940864883E-30   6.43345869902744E-29
 14    9     8.78360818884376E-42   2.02022988343406E-40
 15    9     8.28659636370059E-53   1.98878312728814E-51
 16    9     5.46692961800629E-65   1.36673240450157E-63
 17    9     6.70619790963005E-78   1.74361145650381E-76
  7   10     1.61765034582555E-91   2.75000558790343E-90
  8   10     6.08843273924011E-37   1.09591789306322E-35
  9   10     3.23200381777148E-27   6.14080725376581E-26
 10   10     5.75742139797005E-05   1.15148427959401E-03
 11   10     8.88020177740421E-06   1.86484237325488E-04
 12   10     3.52656833129932E-06   7.75845032885850E-05
 13   10     3.46649212259291E-14   7.97293188196369E-13
 14   10     2.53106882060967E-22   6.07456516946321E-21
 15   10     5.16225741148800E-33   1.29056435287200E-31
 16   10     5.45823535732508E-45   1.41914119290452E-43
 17   10     6.86489204479250E-58   1.85352085209398E-56
 18   10     2.01121754917030E-69   5.63140913767683E-68
 19   10     5.17721850228780E-82   1.50139336566346E-80
 20   10     1.16074699550403E-93   3.48224098651209E-92
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     2.57786780989496E-67   4.89794883880041E-66
  9   11     7.50276784649567E-48   1.50055356929913E-46
 10   11     1.48009637834771E-22   3.10820239453019E-21
 11   11     1.58568305078560E-15   3.48850271172833E-14
 12   11     1.75271321334389E-08   4.03124039069094E-07
 13   11     1.08277521571626E-11   2.59866051771901E-10
 14   11     9.20857827959215E-18   2.30214456989804E-16
 15   11     5.78207507466367E-26   1.50333951941255E-24
 16   11     1.25118485724465E-34   3.37819911456056E-33
 17   11     1.56125663565902E-45   4.37151857984527E-44
 18   11     1.37544088244653E-55   3.98877855909493E-54
 19   11     7.88035207169056E-67   2.36410562150717E-65
 20   11     1.71794821928026E-77   5.32563947976881E-76
 21   11     2.13783789903534E-89   6.84108127691309E-88
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     3.10949462877754E-84   6.21898925755507E-83
  9   12     1.63920590221580E-65   3.44233239465318E-64
 10   12     1.31996284277036E-37   2.90391825409479E-36
 11   12     1.13873704192311E-29   2.61909519642314E-28
 12   12     1.48211273403707E-08   3.55707056168898E-07
 13   12     5.95033161367040E-09   1.48758290341760E-07
 14   12     2.43651051154269E-07   6.33492733001099E-06
 15   12     5.40760318726899E-14   1.46005286056263E-12
 16   12     5.44633658003558E-17   1.52497424240996E-15
 17   12     1.04126387818238E-25   3.01966524672889E-24
 18   12     1.43490079858316E-34   4.30470239574947E-33
 19   12     7.29049224266702E-45   2.26005259522678E-43
 20   12     1.27728955129009E-54   4.08732656412828E-53
 21   12     1.18623811222167E-65   3.91458577033152E-64
 22   12     9.31424347422907E-77   3.16684278123788E-75
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.49026752256635E-60   3.42761530190260E-59
 11   13     4.37618299480362E-50   1.05028391875287E-48
 12   13     1.90597592520166E-22   4.76493981300415E-21
 13   13     7.77605933433881E-20   2.02177542692809E-18
 14   13     5.02037283926575E-09   1.35550066660175E-07
 15   13     1.27120484061959E-14   3.55937355373485E-13
 16   13     2.43841642053365E-19   7.07140761954757E-18
 17   13     6.49526504555992E-27   1.94857951366798E-25
 18   13     4.89726399002079E-35   1.51815183690644E-33
 19   13     2.91446057894017E-45   9.32627385260855E-44
 20   13     8.19967769974606E-55   2.70589364091620E-53
 21   13     1.14687180434462E-65   3.89936413477172E-64
 22   13     2.07114729134665E-75   7.24901551971329E-74
 23   13     2.11597829205388E-86   7.61752185139398E-85
 24   13     3.22872412731873E-97   1.19462792710793E-95
 25   13     1.00000000000000E-99   1.00000000000000E-99
 26   13     1.00000000000000E-99   1.00000000000000E-99
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.00000000000000E-99   1.00000000000000E-99
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     8.31054013651537E-78   1.99452963276369E-76
 11   14     8.62702483303906E-70   2.15675620825977E-68
 12   14     3.06517149713018E-41   7.96944589253847E-40
 13   14     1.83542452014548E-35   4.95564620439279E-34
 14   14     2.63019562096365E-08   7.36454773869821E-07
 15   14     2.46193043588820E-09   7.13959826407579E-08
 16   14     1.03439308659331E-08   3.10317925977993E-07
 17   14     1.79799070916905E-12   5.57377119842407E-11
 18   14     2.50831526918698E-08   8.02660886139833E-07
 19   14     3.15879558872000E-16   1.04240254427760E-14
 20   14     2.95818809071736E-24   1.00578395084390E-22
 21   14     4.05537127340163E-34   1.41937994569057E-32
 22   14     1.49841036438807E-43   5.39427731179706E-42
 23   14     2.39321595530937E-54   8.85489903464465E-53
 24   14     2.71263680277559E-64   1.03080198505472E-62
 25   14     3.88765809925845E-76   1.51618665871080E-74
 26   14     4.97190367012767E-87   1.98876146805107E-85
 27   14     3.08623213897586E-98   1.26535517698010E-96
 28   14     1.00000000000000E-99   1.00000000000000E-99
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     6.86263567059101E-90   1.78428527435366E-88
 12   15     2.57535086577888E-59   6.95344733760297E-58
 13   15     1.98322789017413E-54   5.55303809248757E-53
 14   15     7.69148631309294E-27   2.23053103079695E-25
 15   15     2.37886307725703E-24   7.13658923177108E-23
 16   15     1.01925419523566E-08   3.15968800523053E-07
 17   15     8.98523378453077E-11   2.87527481104985E-09
 18   15     3.95784186034232E-10   1.30608781391296E-08
 19   15     7.80088207882062E-17   2.65229990679901E-15
 20   15     7.97965294448070E-23   2.79287853056825E-21
 21   15     5.58900132245579E-31   2.01204047608408E-29
 22   15     1.57526051236521E-38   5.82846389575129E-37
 23   15     1.39247109234473E-47   5.29139015090998E-46
 24   15     3.36427221442338E-56   1.31206616362512E-54
 25   15     7.85312416712572E-66   3.14124966685029E-64
 26   15     1.14344946007462E-75   4.68814278630593E-74
 27   15     8.51463193264226E-87   3.57614541170975E-85
 28   15     5.75626066532472E-97   2.47519208608963E-95
 29   15     1.00000000000000E-99   1.00000000000000E-99
 30   15     1.00000000000000E-99   1.00000000000000E-99
 31   15     1.00000000000000E-99   1.00000000000000E-99
 32   15     1.00000000000000E-99   1.00000000000000E-99
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     6.70330337494847E-84   1.87692494498557E-82
 13   16     1.46999778204508E-73   4.26299356793073E-72
 14   16     2.76754517219575E-46   8.30263551658724E-45
 15   16     3.02610618430036E-43   9.38092917133112E-42
 16   16     9.11242888046818E-10   2.91597724174982E-08
 17   16     4.33940853161948E-10   1.43200481543443E-08
 18   16     1.42128161632794E-07   4.83235749551500E-06
 19   16     1.72971196953135E-09   6.05399189335972E-08
 20   16     3.58638742601044E-07   1.29109947336376E-05
 21   16     9.39920182363251E-14   3.47770467474403E-12
 22   16     6.47173755177391E-18   2.45926026967409E-16
 23   16     2.21288970553247E-25   8.63026985157664E-24
 24   16     1.89679047340557E-32   7.58716189362226E-31
 25   16     4.56614150847350E-41   1.87211801847414E-39
 26   16     1.25973754670832E-49   5.29089769617494E-48
 27   16     8.48481397891841E-60   3.64847001093492E-58
 28   16     2.07567237949555E-70   9.13295846978043E-69
